video_id,song_title,channel_name,original_title,audio_file,youtube_link
9tEZof7Sof4,PAU_VALLVÉ_EL_MILLOR_DE_MARXAR_ÉS_TORNAR_(Videoclip),Pau Vallvé,PAU VALLVÉ - EL MILLOR DE MARXAR ÉS TORNAR (Videoclip),9tEZof7Sof4.mp3,https://www.youtube.com/watch?v=9tEZof7Sof4
VOtT6uzl5M8,PAU_VALLVÉ_Diuen_diuen_diuen_(videoclip),Pau Vallvé,PAU VALLVÉ - Diuen diuen diuen (videoclip),VOtT6uzl5M8.mp3,https://www.youtube.com/watch?v=VOtT6uzl5M8
Jr_c39ySdWg,PAU_VALLVÉ,Pau Vallvé,PAU VALLVÉ,Jr_c39ySdWg.mp3,https://www.youtube.com/watch?v=Jr_c39ySdWg
dPBDP8gRFfo,PAU_VALLVÉ_QUE_VINGUI_L'HIVERN_(videoclip),Pau Vallvé,PAU VALLVÉ - QUE VINGUI L'HIVERN (videoclip),dPBDP8gRFfo.mp3,https://www.youtube.com/watch?v=dPBDP8gRFfo
6jwiLYQImMo,PAU_VALLVÉ_Ciutadella_(Videoclip),Pau Vallvé,PAU VALLVÉ - Ciutadella (Videoclip),6jwiLYQImMo.mp3,https://www.youtube.com/watch?v=6jwiLYQImMo
8nNyCvwQBOs,PAU_VALLVÉ_TOT_EL_QUE_BRILLA_(music_film),Pau Vallvé,PAU VALLVÉ - TOT EL QUE BRILLA (music film),8nNyCvwQBOs.mp3,https://www.youtube.com/watch?v=8nNyCvwQBOs
fnlfW0tkkNY,PAU_VALLVÉ_GIRA_2021_3._Benvingut_als_Pirineus_(Live),Pau Vallvé,PAU VALLVÉ - GIRA 2021 - 3. Benvingut als Pirineus (Live),fnlfW0tkkNY.mp3,https://www.youtube.com/watch?v=fnlfW0tkkNY
R9hfimIHSz0,PAU_VALLVÉ_EN_UN_SOMNI_ESTRANY_(videoclip),Pau Vallvé,PAU VALLVÉ - EN UN SOMNI ESTRANY (videoclip),R9hfimIHSz0.mp3,https://www.youtube.com/watch?v=R9hfimIHSz0
krEO5qNOC5E,PAU_VALLVÉ_Life_vest_under_your_seat_(Live),Pau Vallvé,PAU VALLVÉ - Life vest under your seat (Live),krEO5qNOC5E.mp3,https://www.youtube.com/watch?v=krEO5qNOC5E
ahyCR409U-Q,PAU_VALLVÉ_Que_es_fonguin_els_ploms_(concert_en_una_cova),Pau Vallvé,PAU VALLVÉ - Que es fonguin els ploms (concert en una cova),ahyCR409U-Q.mp3,https://www.youtube.com/watch?v=ahyCR409U-Q
V3ucPbtUGCM,PAU_VALLVÉ_Cada_deu_anys_(videoclip),Pau Vallvé,PAU VALLVÉ - Cada deu anys (videoclip),V3ucPbtUGCM.mp3,https://www.youtube.com/watch?v=V3ucPbtUGCM
Su07tY2lzj8,PAU_VALLVÉ_GIRA_2021_6._Suposo_que_això_és_fer_se_gran_(Live),Pau Vallvé,PAU VALLVÉ - GIRA 2021 - 6. Suposo que això és fer se gran (Live),Su07tY2lzj8.mp3,https://www.youtube.com/watch?v=Su07tY2lzj8
BDsMCkDeEHs,PAU_VALLVÉ_En_càmera_lenta_(videoclip),Pau Vallvé,PAU VALLVÉ | En càmera lenta (videoclip),BDsMCkDeEHs.mp3,https://www.youtube.com/watch?v=BDsMCkDeEHs
LLJlu6bptVw,PAU_VALLVÉ_Rient_per_no_plorar_(Lyric_video),Pau Vallvé,PAU VALLVÉ - Rient per no plorar (Lyric video),LLJlu6bptVw.mp3,https://www.youtube.com/watch?v=LLJlu6bptVw
8cXZpjkMhxo,PAU_VALLVÉ_CONCERT_2018_Tots_som_molt_millors_(Live),Pau Vallvé,PAU VALLVÉ - CONCERT 2018 - Tots som molt millors (Live),8cXZpjkMhxo.mp3,https://www.youtube.com/watch?v=8cXZpjkMhxo
